model,native_language,mean,sem,count,dataset,stage,release_date
MMS 1B All,USA,0.034415019892961064,0.0036055268977012015,408,L2-Arctic,trend,2023-05
MMS 1B All,Vietnamese,0.2990577823215552,0.009465663861701726,599,L2-Arctic,trend,2023-05
OWSM 1.0 272M,Arabic,0.12376563799769141,0.006221263354598756,599,L2-Arctic,trend,2023-09
OWSM 1.0 272M,Chinese,0.1553054908054908,0.006723236237169928,600,L2-Arctic,trend,2023-09
OWSM 1.0 272M,Hindi,0.04722467347467347,0.003292499384964652,600,L2-Arctic,trend,2023-09
OWSM 1.0 272M,Korean,0.10306090668590667,0.005598345059453557,600,L2-Arctic,trend,2023-09
OWSM 1.0 272M,Spanish,0.13746361508861507,0.006631600929481619,600,L2-Arctic,trend,2023-09
OWSM 1.0 272M,USA,0.02240024409142056,0.0028186058227873986,408,L2-Arctic,trend,2023-09
OWSM 1.0 272M,Vietnamese,0.2618240548006434,0.008862347890065413,598,L2-Arctic,trend,2023-09
OWSM 2.0 739M,Arabic,0.06022229486336331,0.004438943345554278,599,L2-Arctic,trend,2023-10
OWSM 2.0 739M,Chinese,0.08737487974987973,0.004872293285068782,600,L2-Arctic,trend,2023-10
OWSM 2.0 739M,Hindi,0.024329651829651824,0.002434344348804977,600,L2-Arctic,trend,2023-10
OWSM 2.0 739M,Korean,0.050710234210234205,0.003922784527433613,600,L2-Arctic,trend,2023-10
OWSM 2.0 739M,Spanish,0.06878884772634772,0.004647599361964612,600,L2-Arctic,trend,2023-10
OWSM 2.0 739M,USA,0.010793529727353255,0.0016735266162239899,408,L2-Arctic,trend,2023-10
OWSM 2.0 739M,Vietnamese,0.17719644244644242,0.007842295763403336,600,L2-Arctic,trend,2023-10
OWSM 3.1 1B,Arabic,0.061025048963279344,0.004516150437812068,599,L2-Arctic,trend,2024-01
OWSM 3.1 1B,Chinese,0.08410525123025121,0.004600681340629434,600,L2-Arctic,trend,2024-01
OWSM 3.1 1B,Hindi,0.02224890387390387,0.0022816316221641224,600,L2-Arctic,trend,2024-01
OWSM 3.1 1B,Korean,0.04877282439782439,0.0038124254655982934,600,L2-Arctic,trend,2024-01
OWSM 3.1 1B,Spanish,0.05754390516890516,0.003902278102791188,600,L2-Arctic,trend,2024-01
OWSM 3.1 1B,USA,0.011058882566235507,0.0019574626638053224,408,L2-Arctic,trend,2024-01
OWSM 3.1 1B,Vietnamese,0.1653441346262715,0.007577535948104259,599,L2-Arctic,trend,2024-01
OWSM 4.0 1B,Arabic,0.05787373913417318,0.0045595252338513454,599,L2-Arctic,trend,2025-05
OWSM 4.0 1B,Chinese,0.06759531209531208,0.00408551440826823,600,L2-Arctic,trend,2025-05
OWSM 4.0 1B,Hindi,0.025065184815184813,0.0029124119937603368,600,L2-Arctic,trend,2025-05
OWSM 4.0 1B,Korean,0.050256118881118875,0.0038664075772943747,600,L2-Arctic,trend,2025-05
OWSM 4.0 1B,Spanish,0.06304761442261442,0.004507325333410941,600,L2-Arctic,trend,2025-05
OWSM 4.0 1B,USA,0.00966851095527566,0.0017224237109566317,408,L2-Arctic,trend,2025-05
OWSM 4.0 1B,Vietnamese,0.15850844525844524,0.0072906004294453555,600,L2-Arctic,trend,2025-05
Omnilingual 7B,Arabic,0.0612409710489844,0.004635868074425964,599,L2-Arctic,trend,2025-11
Omnilingual 7B,Chinese,0.09004581529581529,0.004795464534761734,600,L2-Arctic,trend,2025-11
Omnilingual 7B,Hindi,0.031526399526399525,0.0037317088217491646,600,L2-Arctic,trend,2025-11
Omnilingual 7B,Korean,0.04667126392126392,0.0036149813816238325,600,L2-Arctic,trend,2025-11
Omnilingual 7B,Spanish,0.06329548692048692,0.004281015296798336,600,L2-Arctic,trend,2025-11
Omnilingual 7B,USA,0.014554066576125398,0.0021317646041172328,408,L2-Arctic,trend,2025-11
Omnilingual 7B,Vietnamese,0.16681432456432457,0.007095333387646184,600,L2-Arctic,trend,2025-11
Qwen2 Audio 7B,Arabic,0.09286140959763664,0.006340194654973159,599,L2-Arctic,trend,2024-08
Qwen2 Audio 7B,Chinese,0.07232493432493431,0.004453016325466505,600,L2-Arctic,trend,2024-08
Qwen2 Audio 7B,Hindi,0.040788970288970286,0.00380968615514239,600,L2-Arctic,trend,2024-08
Qwen2 Audio 7B,Korean,0.05450206737706737,0.004166046320257775,600,L2-Arctic,trend,2024-08
Qwen2 Audio 7B,Spanish,0.08244799413549413,0.005819729784554055,600,L2-Arctic,trend,2024-08
Qwen2 Audio 7B,USA,0.03241869105839694,0.006565808656312443,408,L2-Arctic,trend,2024-08
Qwen2 Audio 7B,Vietnamese,0.18851552318889003,0.008925352294966478,597,L2-Arctic,trend,2024-08
Qwen3 ASR 1.7B,Arabic,0.0382379862763836,0.0035216740222980786,599,L2-Arctic,trend,2025-06
Qwen3 ASR 1.7B,Chinese,0.04615621415621415,0.003497065085909091,600,L2-Arctic,trend,2025-06
Qwen3 ASR 1.7B,Hindi,0.017336994298596968,0.0022041220094916555,599,L2-Arctic,trend,2025-06
Qwen3 ASR 1.7B,Korean,0.02708033633033633,0.0029593012104949606,600,L2-Arctic,trend,2025-06
Qwen3 ASR 1.7B,Spanish,0.04414677683427683,0.003494415990217813,600,L2-Arctic,trend,2025-06
Qwen3 ASR 1.7B,USA,0.030812365738836323,0.00405739882874963,408,L2-Arctic,trend,2025-06
Qwen3 ASR 1.7B,Vietnamese,0.11715109227630094,0.006301427184735921,599,L2-Arctic,trend,2025-06
SeamlessM4T,Arabic,0.07357876164408828,0.005631849281478467,597,L2-Arctic,trend,2023-12
SeamlessM4T,Chinese,0.07184690772190772,0.0051913416764801145,600,L2-Arctic,trend,2023-12
SeamlessM4T,Hindi,0.02679388873044966,0.003244805588040717,599,L2-Arctic,trend,2023-12
SeamlessM4T,Korean,0.04450961060492833,0.0037852454405462093,598,L2-Arctic,trend,2023-12
SeamlessM4T,Spanish,0.08537593656343656,0.006330916210924725,600,L2-Arctic,trend,2023-12
SeamlessM4T,USA,0.01802748585836821,0.0028903025274774246,408,L2-Arctic,trend,2023-12
SeamlessM4T,Vietnamese,0.18195177507677507,0.008491221129460927,600,L2-Arctic,trend,2023-12
WavLM Libri-100h,Arabic,0.303359976144257,0.0089065438796449,598,L2-Arctic,trend,2021-12
WavLM Libri-100h,Chinese,0.3854047202797202,0.008797877538250228,600,L2-Arctic,trend,2021-12
